epoch,policy,chosen,verdict,correct
1,random,US26->CS6;US12->CS12;US6->CS14;US26->CS14,-,0
2,random,US7->CS3;US3->CS7;US11->CS15;US30->CS14,-,0
3,random,US10->CS10;US30->CS14;US17->CS9;US25->CS5,-,0
4,random,US11->CS11;US21->CS9;US18->CS10;US15->CS3,-,0
5,random,US30->CS2;US30->CS6;US31->CS3;US9->CS1,-,0
6,random,US20->CS0;US0->CS8;US31->CS3;US8->CS8,-,0
7,random,US21->CS9;US9->CS5;US8->CS0;US5->CS5,-,0
8,random,US4->CS8;US2->CS14;US31->CS3;US21->CS9,-,0
9,random,US19->CS11;US14->CS10;US3->CS11;US6->CS2,-,0
10,random,US29->CS13;US30->CS10;US16->CS0;US28->CS12,-,0
11,random,US30->CS14;US16->CS8;US9->CS13;US29->CS5,-,0
12,random,US16->CS4;US9->CS13;US23->CS15;US28->CS0,-,0
13,random,US31->CS11;US21->CS9;US5->CS1;US16->CS0,-,0
14,random,US15->CS15;US13->CS13;US25->CS1;US11->CS7,-,0
15,random,US28->CS8;US23->CS15;US26->CS2;US16->CS8,-,0
16,random,US8->CS0;US11->CS11;US8->CS12;US26->CS14,-,0
17,random,US23->CS7;US10->CS14;US10->CS6;US15->CS15,-,0
18,random,US12->CS8;US11->CS3;US21->CS9;US19->CS11,-,0
19,random,US2->CS14;US28->CS8;US18->CS6;US23->CS11,-,0
20,random,US14->CS14;US7->CS3;US2->CS6;US6->CS6,-,0
21,random,US3->CS15;US18->CS14;US27->CS7;US27->CS3,-,0
22,random,US14->CS2;US3->CS7;US12->CS0;US12->CS12,-,0
23,random,US8->CS0;US28->CS0;US23->CS3;US29->CS5,-,0
24,random,US11->CS11;US18->CS2;US8->CS12;US20->CS0,-,0
25,random,US7->CS15;US20->CS4;US8->CS0;US14->CS2,-,0
26,random,US11->CS15;US3->CS7;US5->CS13;US22->CS2,-,0
27,random,US5->CS5;US8->CS0;US21->CS1;US31->CS11,-,0
28,random,US16->CS8;US31->CS11;US1->CS1;US22->CS14,-,0
29,random,US28->CS0;US8->CS8;US17->CS5;US7->CS15,-,0
30,random,US13->CS1;US8->CS4;US13->CS13;US0->CS8,-,0
31,random,US23->CS15;US28->CS4;US21->CS9;US15->CS3,-,0
32,random,US4->CS0;US0->CS12;US13->CS1;US6->CS10,-,0
33,random,US11->CS3;US0->CS12;US2->CS14;US30->CS14,-,0
34,random,US23->CS11;US12->CS8;US8->CS0;US0->CS8,-,0
35,random,US11->CS7;US9->CS1;US23->CS11;US6->CS6,-,0
36,random,US0->CS4;US24->CS0;US22->CS6;US18->CS2,-,0
37,random,US25->CS9;US15->CS15;US18->CS14;US5->CS9,-,0
38,random,US7->CS15;US5->CS1;US22->CS14;US4->CS8,-,0
39,random,US9->CS9;US0->CS4;US11->CS11;US21->CS13,-,0
40,random,US27->CS11;US11->CS7;US6->CS10;US4->CS8,-,0
41,random,US1->CS5;US23->CS3;US21->CS13;US15->CS3,-,0
42,random,US21->CS5;US18->CS2;US10->CS14;US28->CS4,-,0
43,random,US11->CS3;US14->CS10;US6->CS14;US20->CS8,-,0
44,random,US20->CS8;US29->CS13;US15->CS3;US9->CS1,-,0
45,random,US15->CS3;US1->CS9;US19->CS11;US4->CS0,-,0
46,random,US4->CS0;US9->CS5;US1->CS13;US2->CS2,-,0
47,random,US10->CS6;US18->CS2;US3->CS7;US5->CS9,-,0
48,random,US1->CS1;US26->CS2;US11->CS15;US26->CS10,-,0
49,random,US9->CS13;US1->CS5;US12->CS8;US1->CS9,-,0
50,random,US21->CS13;US25->CS9;US31->CS3;US12->CS12,-,0
51,random,US22->CS14;US31->CS11;US27->CS7;US20->CS8,-,0
52,random,US30->CS10;US18->CS14;US29->CS9;US30->CS14,-,0
53,random,US20->CS0;US28->CS8;US17->CS5;US3->CS7,-,0
54,random,US31->CS3;US14->CS2;US14->CS14;US9->CS5,-,0
55,random,US23->CS7;US28->CS4;US15->CS7;US29->CS5,-,0
